Area,Primary School - Number on roll (2019),Primary School - Free Meals Eligibility (2019),Primary School - % Free Meals Eligibility (2019),Secondary School - Number on roll (2019),Secondary School - Free Meals Eligibility (2019),Secondary School - % Free Meals Eligibility (2019),Primary School - Number on roll (2018),Primary School - Free Meals Eligibility (2018),Primary School - % Free Meals Eligibility (2018),Secondary School - Number on roll (2018),Secondary School - Free Meals Eligibility (2018),Secondary School - % Free Meals Eligibility (2018),Primary School - Number on roll (2017),Primary School - Free Meals Eligibility (2017),Primary School - % Free Meals Eligibility (2017),Secondary School - Number on roll (2017),Secondary School - Free Meals Eligibility (2017),Secondary School - % Free Meals Eligibility (2017),Primary School - Number on roll (2016),Primary School - Free Meals Eligibility (2016),Primary School - % Free Meals Eligibility (2016),Secondary School - Number on roll (2016),Secondary School - Free Meals Eligibility (2016),Secondary School - % Free Meals Eligibility (2016),Primary School - Number on roll (2015),Primary School - Free Meals Eligibility (2015),Primary School - % Free Meals Eligibility (2015),Secondary School - Number on roll (2015),Secondary School - Free Meals Eligibility (2015),Secondary School - % Free Meals Eligibility (2015)
City of London,285,32,11.22807018,0,0,0,284,32,11.26760563,0,0,0,276,33,11.95652174,0,0,0,250,49,19.6,0,0,0,240,50,20.8,0,0,0
Barking and Dagenham,26187,4134,15.78645893,16971,2834,16.69907489,26793,3793,14.15668272,15962,2477,15.5181055,27058,4089,15.11198167,15232,2640,17.33193277,26973,4545,16.9,14404,2771,19.2,26111,4975,19.1,13535,2953,21.8
Barnet,32368,4047,12.50308947,26481,3297,12.45043616,32241,3644,11.30237896,25587,2761,10.79063587,32176,4171,12.96307807,24954,2858,11.45307366,31925,5343,16.7,24107,3155,13.1,31070,4542,14.6,23499,3116,13.3
Bexley,22831,2833,12.4085673,20581,2323,11.28710947,22934,2677,11.6726258,20350,1936,9.513513514,22950,2474,10.77995643,20685,1969,9.518975103,22724,2557,11.3,20477,2030,9.9,22269,2808,12.6,20508,2291,11.2
Brent,27902,3167,11.35044083,19846,2500,12.59699688,28084,2902,10.33328586,19459,2133,10.96150881,28326,3313,11.69596837,19557,2347,12.00081812,28303,3678,13,19414,2419,12.5,27987,4366,15.6,19161,2745,14.3
Bromley,27820,2950,10.6038821,22854,1926,8.427408769,27755,2576,9.281210593,22288,1538,6.9005743,27295,2481,9.089576846,21899,1546,7.059683091,26861,2652,9.9,21923,1694,7.7,26250,2979,11.3,21871,1828,8.4
Camden,11861,3352,28.26068628,10217,2825,27.64999511,12049,2961,24.5746535,10038,2460,24.50687388,12232,3283,26.83943754,9979,2535,25.40334703,12239,3267,26.7,9811,2578,26.3,12081,3461,28.6,9795,2790,28.5
Croydon,34239,7543,22.03043313,22965,4569,19.89549314,34557,7168,20.74254131,22196,3862,17.39953145,34774,6538,18.80140335,22206,3687,16.60362064,34576,6460,18.7,22193,3808,17.2,33800,7444,22,22002,3978,18.1
Ealing,33586,4747,14.1338653,20118,3027,15.04622726,33977,4278,12.59087029,19540,2663,13.62845445,34270,4505,13.1456084,19165,2808,14.65170884,34118,4459,13.1,18841,3050,16.2,33213,4854,14.6,18450,3380,18.3
Enfield,33221,5139,15.46913097,24001,4127,17.19511687,33813,4886,14.45006359,23544,3642,15.46890928,34191,4961,14.50966629,23118,3645,15.76693486,34024,5744,16.9,22628,4056,17.9,33152,6260,18.9,22535,4412,19.6
Greenwich,27354,4865,17.78533304,16149,2731,16.91126386,27457,4364,15.89394326,15648,2484,15.87423313,27295,4826,17.68089394,15051,2571,17.08192147,27347,5010,18.3,13896,2542,18.3,26523,5396,20.3,14684,2695,18.4
Hackney,20575,5749,27.94167679,13971,4605,32.96113378,20785,5397,25.96584075,13524,4012,29.66577936,20961,6048,28.85358523,13248,4124,31.12922705,20996,6341,30.2,12858,4268,33.2,20664,6623,32.1,12468,4262,34.2
Hammersmith and Fulham,10874,2452,22.54919993,9378,1775,18.9272766,10893,2322,21.31644175,9347,1732,18.53000963,11030,2468,22.37533998,9198,1807,19.64557513,11042,2520,22.8,8764,1823,20.8,11028,2645,24,8484,1843,21.7
Haringey,23624,3874,16.39857772,14577,2952,20.25108047,24146,3460,14.32949557,13872,2949,21.25865052,24172,3873,16.02267086,13377,3134,23.42827241,24183,4106,17,13099,3352,25.6,23994,4775,19.9,12768,3644,28.5
Harrow,22307,1840,8.248531851,14451,1725,11.93689018,22027,1579,7.168475053,13717,1394,10.16257199,21651,1642,7.583945314,13732,1598,11.63705214,21285,1817,8.5,13331,1655,12.4,21301,2277,10.7,12545,1830,14.6
Havering,23206,3034,13.07420495,15867,1735,10.93464423,22990,2654,11.54414963,15874,1459,9.19113015,22471,2779,12.36705087,15986,1544,9.658451145,22008,2780,12.6,16041,1641,10.2,21196,2769,13.1,16362,1701,10.4
Hillingdon,30741,4035,13.12579291,20541,2658,12.93997371,30839,3727,12.08534648,20431,2439,11.93774167,30913,3977,12.86513764,20124,2562,12.73106738,30469,4208,13.8,19911,2663,13.4,29497,4094,13.9,19739,2928,14.8
Hounslow,25095,3770,15.02291293,18485,3028,16.38084934,25059,3571,14.25036913,17689,2551,14.42139183,25047,3182,12.70411626,17087,2306,13.49563996,24334,3252,13.4,16848,2424,14.4,23672,3579,15.1,16750,2755,16.4
Islington,15475,4310,27.85137318,8551,2785,32.56929014,15722,4055,25.79188398,8628,2638,30.57487251,15875,4281,26.96692913,8593,2762,32.14244152,15502,4507,29.1,8684,2919,33.6,15294,5892,38.5,8588,3635,42.3
Kensington and Chelsea,7509,1749,23.29204954,5710,1152,20.17513135,7597,1562,20.56074766,5359,879,16.40231386,7565,1753,23.17250496,5046,822,16.2901308,7534,1742,23.1,4808,865,18,7612,1941,25.5,4632,925,20
Kingston upon Thames,14922,1323,8.866103739,10857,829,7.635626785,14882,1091,7.331003897,10353,636,6.143146914,14700,1209,8.224489796,10025,632,6.304239401,14560,1274,8.8,9813,667,6.8,14370,1312,9.1,9791,722,7.4
Lambeth,22925,5553,24.22246456,14447,3638,25.18169862,22631,4862,21.4838054,14918,3263,21.87290522,22737,5229,22.99775696,14563,3541,24.31504498,23277,5733,24.6,13427,3463,25.8,22981,6240,27.2,12976,3510,27
Lewisham,25212,3909,15.50452166,14364,2719,18.92926761,25595,3686,14.40125024,14595,2626,17.99246317,25874,4065,15.71075211,14789,2906,19.64973967,25999,4516,17.4,14984,3013,20.1,25579,5809,22.7,14974,3593,24
Merton,19034,2784,14.62645792,9314,1538,16.51277647,19446,2697,13.86917618,8906,1344,15.09094992,19578,2615,13.35682909,8838,1347,15.24100475,19626,2692,13.7,8767,1412,16.1,19334,2331,12.1,8809,1464,16.6
Newham,37308,5936,15.91079661,26246,5054,19.25626762,37434,4360,11.64716568,24447,4007,16.39055917,37637,5547,14.7381566,23144,5434,23.47908745,37587,5874,15.6,22053,5559,25.2,36972,6037,16.3,21075,5600,26.6
Redbridge,30083,3126,10.39125087,27000,3840,14.22222222,29975,3068,10.235196,26082,3652,14.00199371,30137,3579,11.87576733,25441,4087,16.0646201,30039,3949,13.1,24509,4145,16.9,29586,4318,14.6,23919,4136,17.3
Richmond upon Thames,17800,1379,7.747191011,9774,964,9.862901576,17799,1176,6.607112759,9208,865,9.394005213,17702,1196,6.756298723,8795,804,9.141557703,17250,1207,7,8496,823,9.7,16707,1203,7.2,7870,872,11.1
Southwark,25644,5829,22.73046327,17171,4443,25.87502184,25919,5092,19.64581967,16383,4107,25.06866874,25975,4744,18.26371511,15689,4091,26.07559437,26043,5054,19.4,15063,4339,28.8,25656,4662,18.2,14473,4262,29.4
Sutton,19268,2531,13.13576915,19340,1792,9.265770424,19086,2429,12.72660589,18809,1574,8.368334308,18613,2231,11.98624617,18359,1467,7.990631298,18088,2069,11.4,18055,1404,7.8,17460,2006,11.5,17909,1535,8.6
Tower Hamlets,26539,8308,31.30487208,18174,6781,37.31154396,26591,7997,30.07408522,17520,6693,38.20205479,26673,8657,32.45604169,16949,6756,39.86075875,26579,8782,33,16780,6975,41.6,26250,9318,35.5,16218,7283,44.9
Waltham Forest,26046,3763,14.44751593,16004,2735,17.08947763,26364,3331,12.63465332,15886,2410,15.17059046,26418,3515,13.30532213,15854,2475,15.61120222,26231,3924,15,15687,2570,16.4,25872,4323,16.7,15391,2755,17.9
Wandsworth,20962,3634,17.33613205,12594,2093,16.61902493,21063,3257,15.46313441,12034,1724,14.32607612,21031,3493,16.60881556,11680,1877,16.07020548,20707,3636,17.6,11546,1940,16.8,20385,4145,20.3,11394,2195,19.3
Westminster,10492,2385,22.73160503,11981,2971,24.79759619,10907,2211,20.27138535,11542,2677,23.19355398,11264,2478,21.99928977,11341,2944,25.95891015,11507,2878,25,11135,3200,28.7,11533,3630,31.47489812,10620,3412,32.1
Inner London,259285,57072,22.01130031,177381,43793,24.68866451,261616,51254,19.5913094,172207,39767,23.09255721,263302,55952,21.25012343,167596,42733,25.49762524,263445,59005,22.4,163012,44294,27.2,260269,65228,25.06176302,158465,46954,29.6
Outer London,494010,67010,13.56450274,351599,48178,13.70254182,496078,61611,12.4196195,341529,41820,12.24493381,495565,63283,12.76986874,336108,42893,12.76167184,490741,67620,13.8,329341,44929,13.6,479370,71836,14.9855018,325330,48096,14.78375803
North East,227907,49474,21.70797738,156868,29364,18.71892292,226561,42773,18.87924223,155600,25719,16.52892031,226867,42546,18.75371914,155116,25666,16.54632662,224368,42481,18.9,155139,25500,16.4,219543,43164,19.7,155862,26265,16.9
North West,662070,119853,18.10276859,430026,72094,16.76503281,659498,106720,16.1820051,421127,62464,14.8325802,655082,106054,16.18942361,416088,62360,14.98721424,644625,106478,16.5,412375,62679,15.2,629829,111760,17.7,412929,65911,16
Yorkshire and the Humber,494643,86920,17.57226929,329559,53466,16.22349868,494361,77224,15.62097334,323338,46970,14.52659446,493488,78471,15.90129851,319772,47102,14.72987003,487764,76469,15.7,317173,45927,14.5,479282,79661,16.6,317671,47558,15
East Midlands,409831,59526,14.52452352,286000,36130,12.63286713,408573,50888,12.45505699,280300,30661,10.93863717,404921,52191,12.88918085,278181,31268,11.24016378,396192,52772,13.3,277659,32130,11.6,385966,55575,14.4,278704,34840,12.5
West Midlands,531105,98758,18.59481647,375798,61531,16.37342402,528440,85764,16.2296571,367813,53476,14.53890972,527786,87563,16.59062575,362188,54011,14.91242117,518538,89686,17.3,357177,55410,15.5,505816,92695,18.3,354735,57417,16.2
